name,website,hq_country,hq_city,founded,category,subsector,modality,company_type,status,description,notes
BASF Quantum Computing,https://www.basf.com/global/en/who-we-are/innovation/how-we-innovate/our-RnD/Digitalization_in_R-D/quantum_computing,Germany,Ludwigshafen,,"Applications, Consulting & Services",Quantum chemistry/materials simulation,,other,active,"BASF applies quantum computing to chemical reaction simulation, catalysis and logistics, partnering with SEEQC and Kipu Quantum.",QUTAC member. SEEQC (2023) and Kipu Quantum (2024) partnerships confirmed.
BCG (Boston Consulting Group) Quantum Practice,https://www.bcg.com/capabilities/digital-technology-data/emerging-technologies/quantum-computing,United States,"Boston, MA",1963,"Applications, Consulting & Services",Strategy consulting,,other,active,"BCG's quantum practice advises on technology assessment, business transformation and investment; publishes market research.","Consulting division, not a pure-play quantum firm. BCG X joined QuEra Quantum Alliance (2025). BCG founded 1963."
BMW Group (Quantum),https://www.bmwgroup.com,Germany,Munich,,"Applications, Consulting & Services",Automotive/mobility quantum applications,,other,active,BMW Group applies quantum computing to mobility and materials problems and co-runs the Airbus-BMW Quantum Computing Challenge.,QUTAC founding member; Quantinuum/Airbus collaboration.
Boxcat,https://boxc.at,Canada,Toronto,2017,"Applications, Consulting & Services",Rendering / imaging applications,,startup,active,Adapts digital imaging and rendering engines to quantum computation for media and medical imaging; claims first quantum-rendered image.,Creative Destruction Lab company; rendered first image on a D-Wave 2000Q. Website boxc.at live.
Capgemini (Quantum Lab),https://www.capgemini.com,France,Paris,,"Applications, Consulting & Services",Quantum consulting & implementation,,other,active,"Capgemini's Quantum Lab provides quantum strategy, application development, system integration and workforce training.",Works with IBM and Microsoft backends.
ColibrITD,https://www.colibritd.com,France,Paris,2019,"Applications, Consulting & Services",Quantum simulation / PDE solving,,startup,active,Quantum software for multiphysics simulation and PDE solving; QUICK-PDE Qiskit Function on IBM Quantum.,Quantum-as-a-service across industrial use cases; brand styled ColibriTD.
Compute Everything,https://www.computeeverything.ca,Canada,St. John's,2019,"Applications, Consulting & Services",Quantum chemistry / materials simulation,,startup,active,Quantum and tensor-accelerated algorithms for computational chemistry and materials (finite-temperature impurity solvers).,"St. John's, Newfoundland-based; full name Compute Everything Technologies."
Cosmica,https://www.cosmica.llc,United States,"Orlando, Florida",,"Applications, Consulting & Services",Quantum + AI integration,,startup,active,Orlando firm building integrated Quantum + AI + HPC workflows and optimization/quantum-circuit SDKs.,"Listed on Analytics Insight Top 100 (2025). Shares branding/team language ('Integrated Quantum+AI+HPC Workflows', leader 'Aditya') with Automatski; possibly affiliated."
CreativeQuantum,https://www.creative-quantum.eu,Germany,Berlin,2008,"Applications, Consulting & Services",Chemistry consulting,,startup,active,Quantum-chemical simulation services and consulting for chemistry and materials industries.,Founded 2008 in Berlin-Adlershof.
Deloitte Quantum,https://www.deloitte.com/us/en/what-we-do/capabilities/quantum/services/quantum-computing-services.html,United States,"New York, NY",,"Applications, Consulting & Services",Consulting / PQC migration,,other,active,"Deloitte's quantum practice offers strategy, roadmaps, use-case identification, PoCs and quantum-cyber readiness.",Consulting division (Big Four). Quantum lead Scott Buchholz; alliance with QuEra (2025). Founding year of practice not distinct from parent firm.
Eigensystems,https://www.eigensystems.com.au,Australia,Sydney,2023,"Applications, Consulting & Services",quantum education,,startup,active,"Quantum education startup making tactile learning tools, including the Quokka portable quantum-computer emulator.",Founded 2023 by Simon Devitt & Chris Ferrie (UTS). Quokka emulates a 30-qubit machine; 2024 Good Design Award.
Elixir (StatUp AI),https://www.statupai.com/,South Korea,Seoul,,"Applications, Consulting & Services",Quantum-hybrid drug discovery,,startup,active,Drug-discovery and biomarker platform using quantum-classical hybrid algorithms and quantum ML.,"Website statupai.com confirmed (Elixir Corp, Seoul). CEO Jang Jung-kwon; KIST-supported startup at SelectUSA 2026."
Entanglement,https://www.entanglement.com,United States,"Miami, Florida",2017,"Applications, Consulting & Services",Quantum + AI optimization,,startup,active,"Fuses quantum and quantum-inspired optimization with AI/ML (Quantum Logic Core) for defense, logistics and maritime.","Founding member of US QED-C; 25+ patents. Distinct from Entanglement Technologies (atomic sensing, San Bruno)."
EY (Quantum),https://www.ey.com,United Kingdom,London,,"Applications, Consulting & Services",Quantum-safe security & strategy advisory,,other,active,"EY advises on quantum-readiness, cybersecurity, post-quantum cryptography migration, strategy and resilience.","EY global HQ is London, UK."
Florence Quantum Labs,https://florencequantumlabs.com/,United States,Chicago,2024,"Applications, Consulting & Services",Quantum biology,,startup,active,"Unites quantum biology and quantum information science for drug discovery, bioagriculture, bioremediation and biomaterials.",Site emphasizes making fungi bio-programmable for drug discovery. Selected for inaugural Alchemist Chicago cohort (2025) via Duality.
ForeQast Technologies,https://www.foreqast.com/,Canada,Waterloo,2021,"Applications, Consulting & Services",Quantum/ML for logistics optimization,,startup,active,"Quantum-hybrid and ML software for logistics: routing, scheduling and inventory optimization.","Waterloo, ON; Perimeter spinout (Aida Ahmadzadegan). Founded 2021 per Crunchbase/CB Insights."
G42,https://www.g42.ai/,United Arab Emirates,Abu Dhabi,2018,"Applications, Consulting & Services",AI holding with quantum partnerships,,big-tech-division,active,"AI holding company with a Quantum Research Center and quantum partnerships (IonQ, Microsoft, D-Wave).",Not a pure-play quantum company; quantum is one initiative.
Global Data Quantum,https://globaldataquantum.com/,Spain,Bilbao,2022,"Applications, Consulting & Services",Quantum software & consulting,,startup,active,"Basque quantum software and consulting firm applying quantum optimization to logistics, energy and transport.","Part of Global DMTech Group; located at B Accelerator Tower, Bilbao. Founding member of the Spanish Quantum Alliance (SQuA)."
Global Quantum Intelligence,https://www.global-qi.com,United States,"New York, NY",2022,"Applications, Consulting & Services",Intelligence/advisory,,startup,active,"Quantum industry market intelligence, data and advisory services (runs Quantum Computing Report).","GQI formalized ~2022 from Quantum Computing Report (Doug Finke, est. 2015), Interference Advisors and Fact-Based Insight."
Goldman Sachs (Quantum),https://www.goldmansachs.com,United States,"New York, NY",,"Applications, Consulting & Services",Quantum algorithms for finance,,other,active,Goldman Sachs develops quantum algorithms for derivatives/options pricing and risk; an early backer of D-Wave.,Quantum Monte Carlo / derivative-pricing research with IBM and Microsoft.
Good Chemistry Company,https://www.goodchemistry.com/,Canada,Vancouver,2021,"Applications, Consulting & Services",Computational chemistry,,startup,acquired,Quantum and classical molecular-simulation software (QEMIST/Tangelo); acquired by SandboxAQ in Jan 2024.,"Vancouver, BC; spun out of 1QBit (2022), acquired by SandboxAQ January 2024."
h-bar Quantum Technology Consultants,https://www.h-bar.com.au,Australia,Sydney,,"Applications, Consulting & Services",quantum consulting / due diligence,,startup,active,Quantum technology advisory/consultancy providing technical due diligence and strategy for quantum investments.,Claims to be world's first dedicated quantum-tech consultancy; led by Simon Devitt (UTS). Site is HTTP-only (now HTTPS).
Hafnium Labs,https://hafniumlabs.com,Denmark,Copenhagen,2016,"Applications, Consulting & Services",Quantum chemistry + AI for process industry,,startup,active,"Combines quantum chemistry and AI (Q-props) to predict physical properties for chemicals, energy and pharma R&D.","Founded 2016 (record's 2018 corrected) by Christensen, Lundsgaard, Maribo-Mogensen. Largely classical computational-chemistry/AI; quantum-computing tie is loose."
HSBC (Quantum Technologies),https://www.hsbc.com,United Kingdom,London,,"Applications, Consulting & Services",Quantum algorithms for finance + quantum-safe,,other,active,HSBC's quantum team applies quantum computing to algorithmic bond trading and tests quantum-safe networking with partners.,"With IBM, showed 34% improvement in bond RFQ fill prediction (Sept 2025); led by Philip Intallura. Confirmed."
JPMorganChase (Global Technology Applied Research),https://www.jpmorganchase.com,United States,"New York, NY",,"Applications, Consulting & Services",Quantum algorithms for finance,,other,active,JPMorganChase runs a large bank quantum research team developing quantum algorithms for finance and quantum-safe security.,"Certified-randomness work with Quantinuum/Honeywell (Mar 2025, Nature) confirmed; investor in Quantinuum."
KPMG (Quantum),https://kpmg.com,Netherlands,Amstelveen,,"Applications, Consulting & Services",Quantum risk & financial-services advisory,,other,active,"KPMG advises on quantum implications for risk modeling, market stability and auditing of quantum-driven financial algorithms.","KPMG International coordinating entity HQ is Amstelveen, Netherlands."
Kuano,https://www.kuano.ai/,United Kingdom,Cambridge,2020,"Applications, Consulting & Services",Quantum-enabled drug discovery,,startup,active,Quantum-mechanics and AI molecular simulation for enzyme-targeted drug discovery.,
Kvantify,https://www.kvantify.com,Denmark,Copenhagen,2022,"Applications, Consulting & Services",Hybrid quantum-classical software / life science,,startup,active,Quantum and HPC software firm (Qrunch) coupling quantum and classical computing for drug discovery and chemistry.,Raised ~EUR 10M / USD 10.8M seed (2024); works with Aarhus and Aalborg universities and Atom Computing.
McKinsey & Company (Quantum Technology Monitor),https://www.mckinsey.com,United States,"New York, NY",,"Applications, Consulting & Services",Quantum strategy consulting & market research,,other,active,McKinsey advises enterprises on quantum strategy and publishes the annual Quantum Technology Monitor market analysis.,Quantum Technology Monitor confirmed as annual report (5th edition 2026).
Menten AI,https://www.menten.ai/,United States,"San Francisco, CA",2018,"Applications, Consulting & Services",Drug discovery,,startup,active,Quantum-assisted protein/peptide drug design combining quantum computing and machine learning.,Vancouver/US presence; founded by Hans Melo; YC-backed.
"Mercedes-Benz (Quantum, ex-Daimler)",https://group.mercedes-benz.com,Germany,Stuttgart,,"Applications, Consulting & Services",EV battery materials quantum simulation,,other,active,"Mercedes-Benz explores quantum computing for next-generation battery chemistry simulation, collaborating with IBM Quantum.",Formerly Daimler.
MiQro Era (本源旷量 / 弈维量子),,China,Hefei,,"Applications, Consulting & Services",Quantum chemistry & optimization software,,startup,active,Applies quantum chemistry/optimization (MiqroForge platform) to drug discovery and new-materials design.,Hefei-based; develops MiqroForge quantum-classical chemistry workflow platform. No standalone website confirmed.
Mitsubishi Chemical Group (Quantum),https://www.mcgc.com/english/,Japan,Tokyo,,"Applications, Consulting & Services",Quantum chemistry/materials simulation,,other,active,"Mitsubishi Chemical uses quantum computing for molecular/materials simulation (photochromics, Li-O2 batteries) with PsiQuantum and IBM.",Q-STAR member. PsiQuantum (2024) and IBM Li-air battery simulations confirmed.
Molecular Quantum Solutions (MQS),https://mqs.dk,Denmark,Copenhagen,2019,"Applications, Consulting & Services",Quantum chemistry software / pharma,,startup,active,"Quantum-computing chemistry platform (Cebule) combining quantum chemistry, MD and ML for pharma/materials R&D.",Registered in Soborg (Greater Copenhagen). Partnered with Marine Biologics in 2025.
MolKet,https://molket.io/,Germany,,,"Applications, Consulting & Services",Quantum chemistry & molecular simulation,,startup,active,"Quantum molecular dynamics, simulation and AI-driven consulting services on hybrid HPC/AI platforms.",QED-C and QuIC member. HQ city and founding year not publicly documented.
Moth Quantum,https://mothquantum.com/,United Kingdom,London,2022,"Applications, Consulting & Services",Quantum software for creative/audio applications,,startup,active,"Quantum-powered software for music, media and creative applications.",London and Basel; led by CEO Ilana Wisby. Founded 2022 (record said 2024).
Multiverse Computing (Toronto),https://multiversecomputing.com/,Canada,Toronto,2019,"Applications, Consulting & Services",Quantum & AI for finance/industry,,scaleup,active,Quantum and quantum-inspired AI software; CompactifAI LLM compression and tensor-network optimization.,"HQ in San Sebastian, Spain (founded 2019); Toronto is one of several offices. Listed for Canadian presence."
Nirvanic Consciousness Technologies,https://www.nirvanic.ai/,Canada,Vancouver,2024,"Applications, Consulting & Services",Quantum AI / robotics,,startup,active,"Explores quantum-based approaches to machine consciousness, building adaptive quantum-AI software for robotics.","Emerged from stealth Nov 2024; founded by Suzanne Gildert (ex-D-Wave, ex-Sanctuary AI)."
Pharmacelera,https://www.pharmacelera.com,Spain,Barcelona,2015,"Applications, Consulting & Services",Computer-aided drug design,,scaleup,active,Computer-aided drug design using quantum-mechanics and AI (QaiM) algorithms for molecular modeling and screening.,Based at Parc Cientific de Barcelona. Raised EUR 6M in Feb 2026 (led by Heran Partners) to expand in the US.
Phase Space Computing,https://phasespacecomputing.com,Sweden,Linkoping,2017,"Applications, Consulting & Services",Quantum education hardware,,startup,active,Produces electronic toolboxes that emulate quantum gates/circuits for teaching quantum information science.,Linkoping University spin-off founded by Niklas Johansson.
PiDust,https://www.pidust.com,Greece,Patras,2019,"Applications, Consulting & Services",Quantum chemistry / materials simulation,,startup,active,"Uses available quantum computing hardware to simulate drugs, chemicals and materials for new-material design and drug discovery.","Founded 2019 in Patras by Armaos (CEO), Deligiannis and Badounas. Website not independently confirmed live."
Polaris Quantum Biotech (POLARISqb),https://www.polarisqb.com,United States,"Durham, NC",2020,"Applications, Consulting & Services",Quantum drug discovery,,startup,active,Quantum-AI drug discovery platform (QuADD) using quantum annealing for molecular optimization and drug design.,First drug-discovery platform built on a quantum annealer (D-Wave); DARPA EEI awardee.
POSCO Holdings,https://www.posco-inc.com/,South Korea,Pohang,2022,"Applications, Consulting & Services",Quantum applications (materials/steel),,public-company,active,Steel/materials holding company exploring quantum computing for materials science; KQIA member.,Holding co formed 2022. Collaborates with Pasqal and Qunova Computing; won NRF quantum-advantage project.
ProteinQure,https://www.proteinqure.com/,Canada,Toronto,2017,"Applications, Consulting & Services",Drug discovery (peptides),,startup,active,Computational platform (AI plus quantum methods) for designing peptide and protein therapeutics; PQ203 in Phase I.,"Toronto, ON; raised $11M Series A in 2025, dosed first Phase I patient Sept 2025."
Protiviti Quantum Computing Services,https://www.protiviti.com/us-en/quantum-computing-services,United States,"Menlo Park, CA",2002,"Applications, Consulting & Services",Consulting / quantum readiness,,other,active,"Quantum-computing and quantum-readiness consulting, including PQC/encryption risk and use-case evaluation.","Consulting division of Protiviti (parent firm founded 2002, HQ Menlo Park, CA). Quantum lead Konstantinos Karagiannis."
Q4Proteins,https://q4proteins.ethz.ch,Switzerland,Zurich,,"Applications, Consulting & Services",Life sciences,,national-lab-or-spinout,uncertain,ETH Zurich research team applying quantum algorithms to protein/biomolecular simulation; XPRIZE Quantum Apps finalist.,"Appears to be an ETH Zurich (Reiher group) research project, not a registered company; q4proteins.com does not resolve. Canonical page is q4proteins.ethz.ch."
QAI Ventures,https://qai-ventures.com,Switzerland,Arlesheim,2023,"Applications, Consulting & Services",Investment/accelerator,,other,active,Quantum and AI venture capital fund and startup accelerator; investment arm of QuantumBasel.,HQ Arlesheim (Basel-Land); site qai-ventures.com (not qai.ventures).
Qaleon,https://qaleon.com,Spain,Madrid,2018,"Applications, Consulting & Services",AI / business-intelligence solutions and consulting,,startup,active,Spanish AI and business-intelligence solutions and consulting firm with stated interest in quantum computing.,"Qaleon Solution SL, incorporated Apr 2018; primarily AI/BI, quantum involvement is marginal; AFM member."
QBee,https://qbee.eu,Belgium,Leuven,2020,"Applications, Consulting & Services",Quantum software / consulting,,startup,active,"Quantum software, micro-architecture, simulator and consulting/education across genomics, chemistry and finance.","Founded by Koen Bertels (visiting prof, KU Leuven/Ghent). Homepage occasionally unreachable but company and domain confirmed via LinkedIn/HiPEAC."
QDX,https://qdx.co,Australia,Canberra,2023,"Applications, Consulting & Services",quantum chemistry / drug discovery,,startup,active,Quantum-mechanics/HPC computational chemistry and drug-discovery platform (Rush) accelerating therapeutic design.,"Co-founded 2023 by Giuseppe Barca & Loong Wang. Barca won 2024 Gordon Bell Prize, 2025 Dirac Medal. ANU/Singapore presence."
Qkrishi,https://qkrishi.com,India,Gurugram,2021,"Applications, Consulting & Services",Quantum finance,,startup,active,Quantum algorithms for finance and adjacent sectors; IFSCA-authorized fintech building a quantum finance sandbox.,Co-founded by Monika Aggarwal (IIT Delhi professor). Founding year cited as 2021 in most sources.
Qpurpose,https://qpurpose.dk/,Denmark,Odense,2022,"Applications, Consulting & Services",Quantum algorithms & applications,,national-lab-or-spinout,active,"Develops quantum algorithms and software applications for healthcare, energy and finance.",University of Southern Denmark (Centre for Quantum Mathematics) spinout; Novo Nordisk collaboration.
QRDLab,https://www.qrdlab.in,India,Kolkata,2020,"Applications, Consulting & Services",Quantum education & consulting,,startup,active,"Quantum research, education and consulting initiative partnered with University of Calcutta.",Website qrdlab.in confirmed live.
QSimulate,https://qsimulate.com,United States,"Cambridge, Massachusetts",2018,"Applications, Consulting & Services",Molecular simulation,,startup,active,Quantum-mechanics molecular simulation software (QUELO) for pharma drug discovery and materials.,Founded 2018 (corrected from 2017).
Quanscient,https://quanscient.com,Finland,Tampere,2021,"Applications, Consulting & Services",Multiphysics simulation + quantum,,startup,active,"Cloud-native multiphysics simulation platform unifying classical solvers, quantum algorithms and AI for engineering.",Raised EUR 10M Series A (led by 55 North and B&C) in May 2026.
Quantonation,https://www.quantonation.com/,France,Paris,2018,"Applications, Consulting & Services",Venture capital,,other,active,Early-stage venture capital fund dedicated to quantum technologies and deep physics; offices in Paris and Boston.,"Closed a EUR 220M fund in Feb 2026; 60+ portfolio companies incl. Pasqal, Quandela, Multiverse, Qubit Pharmaceuticals."
Quantum Computing Report,https://quantumcomputingreport.com,United States,,2015,"Applications, Consulting & Services",Industry intelligence / advisory,,other,active,"Quantum-industry news, analysis and market-intelligence service tracking companies, qubit counts and funding.",Founded by Doug Finke in 2015; now part of Global Quantum Intelligence (GQI).
Quantum Generative Materials (GenMat),https://www.genmat.xyz,United States,"Austin, TX",2021,"Applications, Consulting & Services",Quantum/AI materials discovery,,startup,acquired,Materials-science company combining quantum computing and ML/AI to simulate atomic structures and discover novel materials.,Acquired by Comstock Inc. (NYSE American: LODE) in Oct 2024; materials-discovery platform and team folded into Comstock. Founder Deep Prasad retained the satellite/space assets.
Quantum Intelligence (QIC),https://www.qic.ai,South Korea,Seoul,2020,"Applications, Consulting & Services",Quantum drug discovery,,startup,active,"Quantum Intelligence Corp; QUEST platform applies quantum/AI modeling to molecular properties, ADME/Tox and drug-target binding.","Founded 2020 by Choi Hwanho & Kang Hong-seok. Partners include QuEra, Classiq, Quandela, OQC. KQIA member."
Quantum Mads,https://quantum-mads.com,Spain,Bilbao,2020,"Applications, Consulting & Services",Industrial quantum optimization (QSaaS),,startup,active,"Hybrid quantum software-as-a-service for industrial optimization in finance, energy and supply chain.",Basque startup; grew out of the Bilbao Quantum Computing Hackathon.
Quantum Phi,https://www.quantumphi.com,Czechia,Prague,2017,"Applications, Consulting & Services",Quantum consulting / analysis / education,,startup,active,"Quantum technology consulting and analysis across computing, communication, imaging and sensing; defence/security focus.",Founded 2017 by Michal Krelina; one of few commercial Czech quantum firms.
Quantum Research Sciences,https://quantumresearchsciences.com/,United States,"Lafayette, Indiana",,"Applications, Consulting & Services",Defense quantum software,,startup,active,"Delivers operational quantum software for defense (supply chain, optimization), running workloads on quantum hardware.","Purdue-affiliated; received U.S. Air Force's first quantum computing Phase III STTR contract ($2.5M, 2024)."
Quantum Strategy Institute,https://quantumstrategyinstitute.com/,Canada,Mississauga,2021,"Applications, Consulting & Services",Advisory & thought leadership,,other,active,"Quantum advisory, education and thought-leadership network for enterprises adopting quantum.","Greater Toronto Area (Mississauga/Toronto), ON; founded 2021 by Brian Lenahan."
Quantum Technology Foundation (Thailand),https://www.qtft.org,Thailand,Bangkok,2019,"Applications, Consulting & Services",Quantum optimization & consulting,,startup,active,"Thai quantum software house providing hybrid quantum optimization for finance, energy, logistics and networks.",~$1M seed (2022); CEO/co-founder Jirawat Tangpanitanon. Website qtft.org confirmed live.
Quantum-South,https://quantum-south.com/,Uruguay,Montevideo,2019,"Applications, Consulting & Services",Quantum optimization for logistics,,startup,active,Quantum and quantum-inspired optimization for air/maritime cargo; first Latin American member of IBM Quantum Network.,Born at University of Montevideo; Uruguay's first quantum startup; partners include Kipu Quantum.
QuantumTX (Quantum Technology Exchange),https://www.quantumtx.com.au,Australia,Adelaide,2019,"Applications, Consulting & Services",quantum commercialisation / advisory,,startup,active,"Commercialisation/advisory program growing quantum-enabled businesses across mining, energy, agri, defence and space.","Founded 2019 by Peter Rossdeutscher and Atomic Sky. Programs run across QLD, WA and SA; HQ tie via Atomic Sky."
QuantyMize,https://quantymize.com,Israel,Tel Aviv,,"Applications, Consulting & Services",Quantum optimization applications,,startup,active,"Quantum algorithms company offering accelerating algorithms (ECHO/QUBO) for industrial optimization, notably energy management.",Website added (quantymize.com; distinct from quantumize.com). CEO Daniel Porat; sci. director Prof. Dalla Torre (Bar-Ilan). Founded year unconfirmed.
Quaxys,https://quaxys.com,,,,"Applications, Consulting & Services",Quantum / RF education & training,,startup,active,"Quaxys Academy trains engineers in RF and superconducting-quantum-hardware skills with courses, a book and a remote RF lab.","Education/training provider (RF + superconducting quantum hardware), not a hardware builder. HQ country not clearly stated; instructors include Alan Salari."
Qubit Engineering,https://qubitengineering.com,United States,"Knoxville, Tennessee",2018,"Applications, Consulting & Services",Energy / optimization applications,,startup,active,Hybrid quantum-classical and ML optimization for wind-farm layout and power-grid siting in the energy sector.,"University of Tennessee team; uses Azure Quantum, D-Wave, Rigetti, Xanadu, AWS. Pivoted toward grid optimization."
Qubit Pharmaceuticals,https://www.qubit-pharmaceuticals.com,France,Paris,2020,"Applications, Consulting & Services",Drug discovery,,startup,active,Molecular-simulation platform (Hyperion) applying quantum and HPC methods to drug discovery.,Sorbonne/CNRS-rooted; offices in Paris and Boston.
QubitSolve,https://www.qubitsolve.com/,United States,"Morgantown, West Virginia",2022,"Applications, Consulting & Services",Quantum CFD software,,startup,active,Develops quantum computing software (variational quantum CFD) for high-fidelity computational fluid dynamics.,"QED-C member; NSF SBIR Phase II awardee ($1.2M, 2025)."
Quminex,https://quminex.com/,Canada,Sherbrooke,2024,"Applications, Consulting & Services",Quantum-AI mineral exploration,,startup,active,Quantum-AI platform analyzing geoscience data to improve efficiency and sustainability of critical mineral exploration.,"Pre-seed from QV Studio, Quantacet, Quantonation. Named Top Innovator in WEF UpLink Quantum for Society Challenge (2025)."
QURECA,https://www.qureca.com/,United Kingdom,Glasgow,2019,"Applications, Consulting & Services",Quantum education & workforce / consulting,,startup,active,"Quantum technology education, training and business-development services for the quantum workforce.",Founded by Araceli Venegas-Gomez.
QuVantum,https://www.quvantum.ch,Switzerland,Zurich,,"Applications, Consulting & Services",Finance software,,startup,uncertain,"Reported quantum software for financial services: portfolio optimization, risk and derivative pricing.",Could not confirm an operating company: quvantum.ch does not resolve and descriptions trace to a single aggregator (with conflated founder data). Existence unverified.
RAQS Quantum,https://www.raqsquantum.com,Singapore,Singapore,,"Applications, Consulting & Services",Quantum consulting & edge algorithms,,startup,active,Prepares APAC enterprises for quantum via consulting plus quantum-inspired edge chips and algorithms.,CEO Raghunath Koduvayur; runs SUTD quantum-AI course.
SandboxAQ,https://www.sandboxaq.com,United States,"Palo Alto, CA",2022,"Applications, Consulting & Services",Quantum-inspired AI applications & PQC,,scaleup,active,"Combines AI with quantum tech; AQNav magnetic-anomaly navigation, medical magnetometry, and PQC security products.",Spun out of Alphabet in 2022; CEO Jack Hidary. Raised large rounds 2024-2025; Nvidia-backed.
SAP Quantum,https://www.sap.com,Germany,Walldorf,,"Applications, Consulting & Services",Enterprise quantum applications,,big-tech-division,active,SAP investigates quantum computing for enterprise/business optimization and supply chain within its innovation programs.,QUTAC member.
Siemens Quantum,https://www.siemens.com,Germany,Munich,,"Applications, Consulting & Services",Industrial quantum applications + simulation,,big-tech-division,active,"Siemens explores quantum computing for industrial simulation, design and optimization, and partners on quantum-classical workflows.",QUTAC member.
SQK (QMEDIC),https://www.sqkcloud.com/,South Korea,,,"Applications, Consulting & Services",Quantum-physics medical imaging AI,,startup,active,Physics-constrained quantum-AI medical imaging (QMEDIC) ensuring physical consistency in CT/MRI reconstruction.,Website sqkcloud.com confirmed via KIST PR (timed out on direct fetch). KIST-supported startup at SelectUSA 2026 (CEO Kim Yoon-hak).
Terra Quantum,https://terraquantum.swiss,Switzerland,St. Gallen,2019,"Applications, Consulting & Services",QaaS/consulting,,scaleup,active,"Quantum-as-a-service algorithms, optimization and quantum-safe security across industries.",Non-binding LOI for a ~$3.25B SPAC merger (Mountain Lake Acquisition Corp. II) announced Apr 2026; not yet closed.
The Quantum Insider (Resonance),https://thequantuminsider.com,Canada,Toronto,2020,"Applications, Consulting & Services",Media/intelligence,,startup,active,"Quantum technology news, market intelligence and data platform under Resonance Alliance.",Parent Resonance Alliance Inc. is Toronto-based (record incorrectly listed London/UK).
Unitary Zero Space,https://unitaryzerospace.com,Finland,Helsinki,2020,"Applications, Consulting & Services",Quantum consultancy / cybersecurity,,startup,active,"Hardware-agnostic quantum computing consultancy and services spanning commercialization, education and cybersecurity.",Founded by Topias Uotila.
Vienna Quantum Consulting,https://www.vq-consulting.com,Austria,Vienna,,"Applications, Consulting & Services",Consulting,,startup,active,"Quantum computing strategy, consulting and implementation services.",Corrected website from viennaquantum.com to vq-consulting.com (official domain). Also a Munich office.
Volkswagen Group (Quantum Computing),https://www.volkswagen-group.com,Germany,Wolfsburg,,"Applications, Consulting & Services",Automotive quantum applications,,other,active,"Volkswagen explores quantum computing for battery materials, traffic optimization and logistics, partnering with IQM and others.",QUTAC founding member.
